menurestaurant_id,menurestaurant_type,meal_type,dish_type,dish_code,dish_name,dish_allergen,dish_label,dish_diet
42,Centre de Loisirs,meal,autre,1609919,Camembert,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
42,Centre de Loisirs,meal,dessert,1609920,Poire,Aucun,bio local;Union Europeene,"[""Aucun regime""]"
42,Centre de Loisirs,meal,pain,1609921,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1609947,Petits suisses nature,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
26,Creche,snack,autre,1609948,Biscuit mon 1er petit beurre,"[""Sesame"",""Lait"",""Oeufs"",""Gluten"",""Arachides"",""Soja""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1609949, Banane,Aucun,Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1610175,Bio barre au chocolat,"[""Fruits a coques"",""Lait""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1610176,Fromage blanc,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
26,Creche,snack,autre,1610177,Pain au lait,"[""Soja"",""Fruits a coques"",""Arachides"",""Lait"",""Oeufs"",""Gluten""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1610189,Boudoirs aux oeufs frais,"[""Oeufs"",""Gluten"",""Lait""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1610190,Pomme,Aucun,bio local;Union Europeene,"[""Aucun regime""]"
26,Creche,snack,dessert,1610191,Yaourt brebis,"[""Lait""]",Non renseigne,"[""Aucun regime""]"
26,Creche,snack,dessert,1610204,Yaourt brasse à la vanille,"[""Lait""]",Bio Equitable,"[""Aucun regime""]"
26,Creche,snack,dessert,1610205,Puree de pomme-poire,Aucun,Non renseigne,"[""Aucun regime""]"
26,Creche,snack,autre,1610206,Madeleine,"[""Gluten"",""Lait"",""Fruits a coques"",""Soja"",""Oeufs""]",Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,entree,1610491,Carottes rapees,"[""Moutarde"",""Sulfites""]",bio local;Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,plat principal,1610492,Lasagne d'epinards et ricotta,"[""Soja"",""Moutarde"",""Lait"",""Oeufs"",""Gluten"",""Sulfites""]",Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,dessert,1610493,Duo Yaourts,"[""Lait""]",Bio Equitable,"[""Aucun regime""]"
42,Centre de Loisirs,meal,pain,1610494,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,plat principal,1610694,Daube   de boeuf,"[""Gluten"",""Celeri"",""Sulfites""]",Viande Bovine Française;Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,garniture,1610695,Pommes allumettes,Aucun,Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,autre,1610696,Tomme de vache grise,"[""Lait"",""Moutarde"",""Sulfites""]",Produit local et de saison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,pain,1610697,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
42,Centre de Loisirs,meal,dessert,1611208,Kiwi,Aucun,bio local;Union Europeene,"[""Aucun regime""]"
42,Centre de Loisirs,meal,entree,1610914,Potage au pois casse,"[""Celeri"",""Lait"",""Gluten""]",Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,plat principal,1610915,Steak hache,"[""Soja"",""Celeri"",""Gluten"",""Oeufs"",""Lait"",""Sulfites"",""Moutarde""]",Viande Bovine Française;Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,garniture,1610916,Trio de legumes,"[""Lait"",""Celeri""]",Plat fait maison,"[""Aucun regime""]"
42,Centre de Loisirs,meal,autre,1610917,Yaourt nature,"[""Lait""]",Union Europeene,"[""Aucun regime""]"
42,Centre de Loisirs,meal,pain,1610918,Pain restaurant,"[""Gluten""]",Non renseigne,"[""Aucun regime""]"
